Phypl_LC9-1	Phytophthora_pluvialis
Phypl_NZFS3000	Phytophthora_pluvialis2
Phyps_PR13-731	Phytophthora_pseudosyringae
Phyra_CC1011	Phytophthora_ramorum
Phyra_CDFA1418886	Phytophthora_ramorum2
Phyra_EU12275	Phytophthora_ramorum3
Phyra_EU1CC1008	Phytophthora_ramorum4
Phyra_EU1CC1033	Phytophthora_ramorum5
Phyra_EU1CC1048	Phytophthora_ramorum6
Phyra_EU1CC12475	Phytophthora_ramorum7
Phyra_EU1CC14654	Phytophthora_ramorum8
Phyra_EU1CC2168	Phytophthora_ramorum9
Phyra_EU1CC2176	Phytophthora_ramorum10
Phyra_EU1CC2184	Phytophthora_ramorum11
Phyra_EU1CC2186	Phytophthora_ramorum12
Phyra_EU1CC2187	Phytophthora_ramorum13
Phyra_EU2_996_3	Phytophthora_ramorum14
Phyra_EU2_SOD58_12	Phytophthora_ramorum15
Phyra_EU2SOD136_11	Phytophthora_ramorum16
Phyra_EU2SOD158_11	Phytophthora_ramorum17
Phyra_EU2SOD169_11	Phytophthora_ramorum18
Phyra_EU2SOD22_12	Phytophthora_ramorum19
Phyra_EU2SOD69_12	Phytophthora_ramorum20
Phyra_EU2SODL51	Phytophthora_ramorum21
Phyra_Pr102	Phytophthora_ramorum22
Phyra_Pr102-2018	Phytophthora_ramorum23
Phyru_CBS109.892	Phytophthora_rubi
Phyru_pd0101050015038	Phytophthora_rubi2
Phyru_SCRP249	Phytophthora_rubi3
Phyru_SCRP324	Phytophthora_rubi4
Phyru_SCRP333	Phytophthora_rubi5
Physo_P6497	Phytophthora_sojae
Physy_BL57G	Phytophthora_syringae
Phyta_toNZFS3642	Phytophthora_taxon_totara
Phyta_toNZFS3727	Phytophthora_taxon_totara2
Phyxa	Phytophthora_x_alni
Phybo_SCRP23	Phytophthora_boehmeriae
Phyps_SCRP734	Phytophthora_pseudosyringae2
